tool,auroc,def_DR,def_FPR,def_F1,def_MCC,bestF1_thr,bestF1_DR,bestF1_FPR,bestF1_F1,def_vs_best_F1_gap_pp
claude_opus_4_7,0.9056,0.9092,0.1618,0.8887,0.7516,0.1,0.9158,0.1657,0.8909,0.22
claude_sonnet_4_6,0.9281,0.916,0.165,0.8913,0.7562,0.36,0.9193,0.165,0.8931,0.18
deepseek_r1,0.7413,0.8958,0.6225,0.7387,0.3237,0.72,0.8824,0.5929,0.7394,0.07
deepseek_v3,0.6086,0.9109,0.7018,0.7273,0.2684,0.1,0.9109,0.7018,0.7273,0.0
gemini_flash,0.7392,0.5,0.1,0.6307,0.429,0.02,0.7164,0.3431,0.7129,8.22
mistral,0.7438,0.7164,0.2505,0.742,0.4646,0.16,0.7164,0.2505,0.742,0.0
qwen,0.6945,0.8595,0.5332,0.7439,0.3583,0.06,0.8595,0.5332,0.7439,-0.0
gpt_5_4,0.8339,0.7673,0.2281,0.7828,0.5378,0.06,0.8251,0.3236,0.7862,0.34
